-0.401227,0.76384,0.0527382
-0.401227,0.76384,0.0380516
-0.401227,0.76384,0.0211716
-0.401227,0.76384,0.0102043
-0.401227,0.76384,0.00476837
-0.401227,0.76384,-0.00143051
-0.401227,0.76384,-0.015831
-0.401227,0.76384,-0.0267982
-0.401227,0.76384,-0.0432968
-0.401227,0.76384,-0.0511169
-0.401227,0.76384,-0.0528336
-0.401227,0.76384,-0.0411034
-0.401227,0.76384,-0.0195503
-0.401227,0.76384,-0.0103951
-0.335023,0.603481,0.00343323
-0.335561,0.603734,0.0229836
-0.32799,0.590833,0.061512
-0.3195,0.581165,0.0844955
-0.297429,0.566772,0.0930786
-0.274471,0.563689,0.0833511
-0.232751,0.574462,0.0741005
-0.233803,0.597342,0.0770569
-0.247157,0.63497,0.0834465
-0.265839,0.651059,0.0959396
-0.306098,0.661293,0.126171
-0.329458,0.663587,0.14925
-0.337157,0.661067,0.183868
-0.327482,0.645184,0.191689
-0.315445,0.624891,0.181961
-0.303389,0.615425,0.170708
-0.303126,0.60527,0.170326
-0.31786,0.60132,0.174618
-0.344046,0.607334,0.167179
-0.353109,0.613606,0.163746
-0.346677,0.607205,0.15564
-0.336187,0.618193,0.158882
-0.328763,0.63857,0.162125
-0.31925,0.658225,0.149059
-0.302213,0.673639,0.134563
-0.300998,0.675324,0.133324
-0.329614,0.694507,0.145435
-0.366363,0.701505,0.154209
-0.385197,0.705019,0.152683
-0.376709,0.713409,0.146484
-0.353856,0.712202,0.126553
-0.338121,0.699831,0.114059
-0.313715,0.696961,0.103092
-0.302487,0.717078,0.097084
-0.288387,0.66093,0.0644684
-0.278247,0.656893,0.0588417
-0.250421,0.626138,0.0581741
-0.240131,0.591484,0.0554085
-0.238526,0.53132,0.074482
-0.245768,0.494694,0.0920296
-0.251589,0.464798,0.127316
-0.266046,0.467899,0.151157
-0.265905,0.472643,0.156021
-0.281329,0.468739,0.14286
-0.2807,0.47237,0.133133
-0.26549,0.507615,0.130558
-0.260874,0.542588,0.129318
-0.268047,0.608558,0.114059
-0.272164,0.631384,0.109386
-0.288753,0.64985,0.109959
-0.301437,0.653364,0.103664
-0.311151,0.636201,0.0995636
-0.313005,0.628275,0.105095
-0.316715,0.644956,0.135422
-0.322343,0.668434,0.148869
-0.326486,0.664299,0.156116
-0.332918,0.654437,0.150013
-0.33721,0.641467,0.114918
-0.331469,0.624398,0.0945091
-0.319104,0.597981,0.0974655
-0.321922,0.569121,0.106621
-0.335651,0.554832,0.102901
-0.345903,0.544029,0.0937462
-0.361456,0.535241,0.106239
-0.372618,0.537252,0.114346
-0.374383,0.541796,0.126457
-0.375396,0.550752,0.139427
-0.362341,0.543462,0.153637
-1.37701e-09,-2.02695e-08,1.42902e-05
-1.10075e-08,-1.6203e-07,0.000114232
-3.7109e-08,-5.46242e-07,0.000385105
-8.7836e-08,-1.29294e-06,0.000911533
-1.71284e-07,-2.52129e-06,0.00177753
-2.95499e-07,-4.34973e-06,0.0030666
-4.68449e-07,-6.89554e-06,0.00486141
-6.97984e-07,-1.02743e-05,0.00724345
-9.91921e-07,-1.4601e-05,0.0102938
-1.358e-06,-1.99897e-05,0.0140929
-1.80382e-06,-2.65521e-05,0.0187194
-2.33692e-06,-3.43993e-05,0.0242518
-2.96475e-06,-4.36409e-05,0.0307672
-3.6946e-06,-5.43843e-05,0.0383414
-4.53369e-06,-6.67356e-05,0.0470491
-5.48916e-06,-8.08e-05,0.0569647
-6.56797e-06,-9.668e-05,0.0681602
-7.77696e-06,-0.000114476,0.0807068
-9.1229e-06,-0.000134288,0.0946745
-1.06124e-05,-0.000156214,0.110132
-1.2252e-05,-0.000180348,0.127147
-1.40479e-05,-0.000206784,0.145784
-1.60064e-05,-0.000235612,0.166109
-1.81335e-05,-0.000266924,0.188183
-2.04351e-05,-0.000300804,0.212069
-2.29171e-05,-0.000337338,0.237826
-2.5585e-05,-0.000376609,0.265513
-2.84443e-05,-0.000418698,0.295185
-3.15002e-05,-0.000463681,0.326899
-3.4758e-05,-0.000511635,0.360707
-3.82225e-05,-0.000562633,0.396661
-4.18987e-05,-0.000616745,0.43481
-4.57911e-05,-0.000674042,0.475205
-4.99042e-05,-0.000734586,0.517889
-5.42423e-05,-0.000798443,0.562909
-5.88096e-05,-0.000865673,0.610307
-6.361e-05,-0.000936335,0.660124
-6.86474e-05,-0.00101048,0.7124
-7.39252e-05,-0.00108817,0.767171
-7.9447e-05,-0.00116945,0.824474
-8.52159e-05,-0.00125437,0.884342
-9.12351e-05,-0.00134297,0.946807
-9.75074e-05,-0.0014353,1.0119
-0.000104036,-0.0015314,1.07965
-0.000110822,-0.00163129,1.15007
-0.000117869,-0.00173503,1.22321
-0.000125179,-0.00184263,1.29907
-0.000132754,-0.00195413,1.37768
-0.000140596,-0.00206956,1.45906
-0.000148705,-0.00218893,1.54322
-0.000157085,-0.00231228,1.63017
-0.000165735,-0.00243961,1.71994
-0.000174657,-0.00257094,1.81253
-0.000183852,-0.00270629,1.90795
